Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.124039089703059,0.0849018285649875,0.0507049336382351,0,0,0,2.91745388040908,0.00617452431631895,-7.1545090527461E-07,-1.26679487712579E-05,0.00553460681657008,-3.51329121715537E-07,0.0110508759807573,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140331,0.00297622851896683,0,0,0,0.0727928435161986,2.20927876796312E-05,-1.6484530205639E-08,-1.56454773175215E-07,1.62632133784213E-05,2.96411876511182E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.054044,0.18241,-0.036503,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,3.46944695195361E-18,0,0,0,0.767080911081153,0.00116426102407189,4.45758864315272E-22,-1.82994146746971E-20,0.000639661580367031,-1.35525271560688E-20,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.0633463599631527,-0.00679803845222953,0.0150436140506676,-1.62639053095063,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056319E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510421E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.10307,-0.042784,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.767080911081152,0.00116426102407189,-1.2315168370675E-36,4.60638074444741E-39,0.000639661580367031,8.00462841683581E-39,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0,-0.029384279339137,0,0,0,0,0.0953719735550794,8.60551274221477E-05,8.25033890435269E-22,5.70072799361511E-20,8.19515157071385E-05,-2.7466330021711E-20,8.63158418017919E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,-0.202,0.228,-0.0025623,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,6.9389E-18,0,-2.7756E-17,0,0,0,0.47957,0.00023542,-1.9655E-38,7.7646E-40,0.00023758,-7.8066E-40,0.00023542,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,revolute,0,-0.060738,0,0,0,-1.5708,LBS,0,1,0,0,0,0,0,,,0.001,,,,,
RBS,0,-0.029384279339137,-2.77555756156289E-17,0,0,0,0.0953719735550794,8.60551274221477E-05,4.83996477136411E-20,5.96249293805221E-20,8.19515157071387E-05,-2.7466330021711E-20,8.63158418017921E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.202,-0.062003,-0.0025623,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,0,0,0,0,0,0,0.47957,0.00023542,7.2576E-39,3.4442E-40,0.00023758,-7.6906E-40,0.00023542,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,revolute,0,-0.060738,0,0,0,-1.5708,RBS,0,1,0,0,0,0,0,,,0.001,,,,,
fcam,-0.0115544746517359,-2.64429642850283E-06,0.00129029302682174,0,0,0,0.0436119957238952,2.35707061906175E-05,-1.01842273865681E-09,2.17585832536658E-08,4.29479050056035E-06,-8.85018118759863E-10,2.21058153511886E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.083,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
bcam,-0.02010346452991,-2.64354903287134E-06,-0.00725869505663598,0,0,0,0.0436119949785286,2.357070560996E-05,-1.01834758005619E-09,2.17579332532706E-08,4.29479078276665E-06,-8.85484503961915E-10,2.21058144654638E-05,0,0,0,0,0,0,package://lide/meshes/bcam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/bcam.STL,,Webcam_C920-1,bcam,,bcam,fixed,0,0.083,0.091232,0,0.7854,0,base_link,0,0,0,,,,,,,,,,,,
Lidar,0.0135233595886408,0.000461955982206302,-0.0287648854950511,0,0,0,0.0730845717569496,1.95808757419765E-05,-1.03933585736234E-07,-4.28391168396098E-07,2.41250079666672E-05,9.42710206434151E-09,4.14184516368183E-05,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lide/meshes/Lidar.STL,,RPLidar-1,Lidar,,Lidar,fixed,-0.19458,0.082006,0.2065,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bacam,-0.011554,-2.6441E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0185E-09,2.1758E-08,4.2948E-06,-8.8503E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/bacam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/bacam.STL,,Webcam_C920_back-1,bacam,,bacam,fixed,-0.24887,0.083,0.12838,0,0.34907,3.1416,base_link,0,0,0,,,,,,,,,,,,
imu_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/imu_link.STL,,IMU-1,imu_link,,imu_link,fixed,-0.039,0.083,0.155,0,0,0,base_link,0,0,0,,,,,,,,,,,,
